37 54
-0.094092 -0.019694 0.000000
0.076586 0.251641 0.000000
-0.234136 0.264770 0.000000
-0.374179 -0.010941 0.000000
-0.229759 -0.238512 0.000000
0.085339 -0.242888 0.000000
0.194748 -0.006565 0.000000
0.203501 0.466083 0.000000
-0.050328 0.479212 0.000000
-0.277899 0.483589 0.000000
-0.461707 0.269147 0.000000
-0.597374 -0.006565 0.000000
-0.470460 -0.247265 0.000000
-0.356674 -0.466083 0.000000
-0.102845 -0.466083 0.000000
0.212254 -0.452954 0.000000
0.299781 -0.238512 0.000000
0.413567 0.006565 0.000000
0.299781 0.273523 0.000000
-0.152410 0.705158 0.043589
-0.457877 0.698934 0.066357
-0.610173 0.475142 0.065763
-0.775613 0.277489 0.067577
-0.901631 0.005786 0.062402
-0.726538 -0.264091 0.034551
-0.573368 -0.481660 0.011188
-0.468262 -0.668932 -0.006898
-0.232610 -0.667502 -0.024645
0.072840 -0.652539 -0.046938
0.369569 -0.641999 -0.068812
0.447722 -0.440506 -0.063817
0.569497 -0.230009 -0.061634
0.669366 0.024056 -0.055435
0.516101 0.289695 -0.029464
0.376058 0.489865 -0.008037
0.065786 0.706481 0.027157
0.253287 0.712090 0.011414
0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 1
1 7 8
1 8 2
2 8 9
2 9 10
2 10 3
3 10 11
3 11 12
3 12 4
4 12 13
4 13 14
4 14 5
5 14 15
5 15 16
5 16 6
6 16 17
6 17 18
1 6 18
1 18 7
8 35 19
8 19 9
9 19 20
9 20 21
9 21 10
10 21 22
10 22 11
11 22 23
11 23 24
11 24 12
12 24 25
12 25 13
13 25 26
13 26 27
13 27 14
14 27 28
14 28 15
15 28 29
15 29 30
15 30 16
16 30 31
16 31 17
17 31 32
17 32 33
17 33 18
18 33 34
7 18 34
7 34 36
7 36 35
7 35 8
